0,0,0,0,0,5.8125,6.0435,2.6265,2.3625,3.5145,4.1535,4.5945,4.761,5.196,5.955,0,0,0,1.854,1.2495,0.762,2.6175,5.163,5.799,3.843,4.065,0,0,0,0,0,0,3.6465,5.244,5.754,1.5975,1.2675,2.7345,3.6765,2.067,2.349,2.379,0,5.124,5.364,0,0,4.1355
0,0,0,0,0,0,0,5.5455,0,0,0,0,0,0,0,0,0,0,3.006,3.2355,4.56,5.5725,0,0,2.424,4.614,0,0,0,0,0,0,0,0,0,5.553,5.223,3.2835,0.378,1.9185,1.6065,2.2305,0,5.673,5.913,3.462,3.1695,1.0875
0,0,0,0,0,0,0,5.439,6.2085,0,0,0,0,0,0,0,0,0,3.6,3.129,4.452,5.466,0,0,0.129,2.319,5.289,0,0,0,0,0,0,0,0,5.445,5.115,2.1135,2.673,3.813,3.4995,4.125,0,3.378,3.6195,3.57,3.2775,3.381
5.565,5.367,6.75,0,0,0,0,0,0,0,5.28,5.1525,4.986,4.521,3.5115,2.4885,2.814,3.5175,0,0,4.767,2.9115,0.3675,0.27,0,6.3075,4.3065,4.8765,5.4855,3.108,5.5725,6.0825,2.538,0,0,5.994,5.73,0,7.9875,0,0,0,0,0,0,0,0,0
0,0,5.7045,5.418,5.3025,7.194,0,6.0105,5.646,3.93,3.135,3.0075,2.841,2.8425,3.6015,4.3125,4.7715,5.475,5.238,4.6335,2.622,0.7665,1.779,2.415,6.1965,4.35,3.6495,0,0,5.253,0,0,1.2945,6.294,5.535,3.8475,3.585,4.086,0,5.451,5.139,5.7645,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.7105,4.9155,5.022,5.1885,5.6235,0,0,0,0,0,0,4.4025,2.547,4.3725,4.602,3.4155,1.569,1.869,5.241,5.8515,6.0345,5.937,0,4.0755,0,0,5.628,5.3655,2.43,0,0,0,0,0,4.6965,4.236,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7615,6.039,0,0,0,0,0,5.1615,3.318,3.549,5.9055,3.7155,0.747,2.625,3.2355,4.98,3.3225,3.831,4.7895,0,0,0,0,5.046,0,0,0,0,5.052,5.7495,5.2905,0,0,0
0,0,0,0,0,0,0,5.6865,0,0,0,0,0,0,0,0,0,0,3.147,3.3765,4.701,5.7135,0,0,4.752,0,0,0,0,0,0,0,0,0,0,5.6925,5.3625,5.6115,1.95,2.0595,1.7475,2.3715,0,0,0,4.989,3.0285,1.2405
2.2305,1.7955,0,0.999,1.3485,2.9595,5.13,0,0,5.256,4.617,4.1775,4.0095,3.576,3.651,4.674,5.415,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.124,3.5265,3.018,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9595,2.493,1.1415,0.9885,1.3065,3.198,5.4315,5.325,4.5555,3.402,2.763,2.3235,2.1555,1.722,2.631,3.654,4.395,5.16,0,0,0,5.298,5.775,0,0,0,0,0,0,0,0,3.603,2.2965,1.539,5.319,5.649,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5.6955,3.6465,4.416,5.5695,6.2085,0,0,0,0,0,0,0,2.262,2.8665,4.878,0,0,0,5.991,0,0,0,0,0,0,0,0,0,0,3.6525,3.9165,0,3.189,2.049,2.3625,1.737,0,0,0,0,5.07,2.481
6.4155,0,0,0,0,0,0,0,0,0,0,0,6.471,0,4.995,3.972,3.231,2.532,0,0,6.252,4.395,1.851,1.215,0,0,5.2905,3.3915,4.002,1.623,4.089,4.5975,4.023,0,0,0,0,0,0,0,0,0,5.8185,0,0,0,0,0
0,0,0,0,0,0,0,4.74,5.5095,0,0,0,0,0,0,0,0,0,2.199,2.742,4.7535,0,0,0,5.865,0,0,0,0,0,0,0,0,0,0,4.746,4.416,0,3.0645,1.9245,2.2365,1.611,0,0,0,0,3.9765,2.355
0,0,0,0,0,0,5.7195,3.669,4.44,5.5935,6.2325,0,0,0,0,0,0,0,1.1295,1.359,3.1215,4.977,0,0,4.233,0,0,0,0,0,0,0,5.7255,0,0,3.6765,3.345,5.0925,1.599,0.2925,0.6045,0.354,0,0,0,5.3385,5.046,2.058
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9785,0,0,0,0,0,0,0,0,0,0,0,0,5.8695,3.927,5.568,5.2545,5.88,0,0,0,5.217,2.322,3.468










